Model,Accuracy,Precision,Recall
KNeighbors,0.7529875518672199,0.7418187219587367,0.7614411518722326
Gradient Boosting,0.8690041493775934,0.866180645490614,0.8932557790855753
Logistic Regression,0.8279668049792532,0.8272884989449376,0.8246418011716633
Dummy Most Frequent,0.6316597510373444,0.3158298755186722,0.5
